symptoms,disease,treatment,medicines,prevention,severity,age_group,consultation_needed,specialist_required,confidence_score,symptom_count
"I have been having sneezing, runny nose, nasal congestion, cough, fatigue for a few days",Common Cold,Saline nasal rinse | Rest | Throat lozenges | Use humidifier,Dextromethorphan 15mg | Paracetamol 500mg | Zinc lozenges 10mg,Wash hands frequently | Get adequate sleep | Boost immune system,Severe,Adult,routine,General Practitioner,90,5
"I'm suffering from fatigue, high fever, cough with phlegm",Pneumonia,Antibiotics | Hospitalization if severe | Rest | Increase fluid intake,Levofloxacin 750mg | Amoxicillin 1000mg | Azithromycin 500mg,Maintain healthy lifestyle | Practice good hygiene | Avoid smoking,Mild,Child,urgent,Pulmonologist,92,3
"I am experiencing shortness of breath, chills, fatigue, chest pain",Pneumonia,Increase fluid intake | Antibiotics | Rest | Hospitalization if severe,Amoxicillin 1000mg | Levofloxacin 750mg | Azithromycin 500mg,Practice good hygiene | Maintain healthy lifestyle | Get vaccinated,Moderate,Child,urgent,Pulmonologist,87,4
"I am experiencing shortness of breath, fatigue, chest pain, cough with phlegm",Pneumonia,Rest | Oxygen therapy | Antibiotics | Increase fluid intake,Amoxicillin 1000mg | Azithromycin 500mg | Levofloxacin 750mg,Practice good hygiene | Maintain healthy lifestyle | Avoid smoking,Severe,Elderly,urgent,Pulmonologist,94,4
"I've noticed high fever, fatigue, chest pain recently",Pneumonia,Oxygen therapy | Rest | Antibiotics | Hospitalization if severe,Amoxicillin 1000mg | Azithromycin 500mg | Levofloxacin 750mg,Avoid smoking | Maintain healthy lifestyle | Practice good hygiene,Moderate,Child,urgent,Pulmonologist,86,3
"I am experiencing chills, fatigue, cough with phlegm",Pneumonia,Antibiotics | Increase fluid intake | Rest | Oxygen therapy,Levofloxacin 750mg | Ceftriaxone 1g | Azithromycin 500mg,Get vaccinated | Avoid smoking | Practice good hygiene,Moderate,Elderly,urgent,Pulmonologist,85,3
"I'm suffering from cough with phlegm, chills, chest pain, high fever",Pneumonia,Oxygen therapy | Increase fluid intake | Antibiotics | Rest,Amoxicillin 1000mg | Levofloxacin 750mg | Ceftriaxone 1g,Get vaccinated | Avoid smoking | Practice good hygiene,Severe,Adult,urgent,Pulmonologist,95,4
"I've noticed high fever, chest pain, shortness of breath, cough with phlegm, chills recently",Pneumonia,Oxygen therapy | Increase fluid intake | Antibiotics | Rest,Amoxicillin 1000mg | Ceftriaxone 1g | Levofloxacin 750mg,Get vaccinated | Practice good hygiene | Maintain healthy lifestyle,Severe,Adult,urgent,Pulmonologist,95,5
"I am experiencing chills, high fever, chest pain",Pneumonia,Oxygen therapy | Rest | Increase fluid intake | Antibiotics,Ceftriaxone 1g | Azithromycin 500mg | Amoxicillin 1000mg,Get vaccinated | Practice good hygiene | Avoid smoking,Moderate,Elderly,urgent,Pulmonologist,90,3
"I have been having chest pain, high fever, fatigue, shortness of breath, chills for a few days",Pneumonia,Hospitalization if severe | Antibiotics | Oxygen therapy | Increase fluid intake,Ceftriaxone 1g | Levofloxacin 750mg | Azithromycin 500mg,Maintain healthy lifestyle | Practice good hygiene | Avoid smoking,Severe,All Ages,urgent,Pulmonologist,95,5
"I have been having chills, cough with phlegm, chest pain for a few days",Pneumonia,Hospitalization if severe | Oxygen therapy | Antibiotics | Rest,Ceftriaxone 1g | Levofloxacin 750mg | Amoxicillin 1000mg,Get vaccinated | Avoid smoking | Practice good hygiene,Moderate,Elderly,urgent,Pulmonologist,88,3
"I'm suffering from cough with phlegm, fatigue, shortness of breath",Pneumonia,Antibiotics | Rest | Hospitalization if severe | Oxygen therapy,Levofloxacin 750mg | Azithromycin 500mg | Ceftriaxone 1g,Maintain healthy lifestyle | Avoid smoking | Get vaccinated,Moderate,All Ages,urgent,Pulmonologist,86,3
"I am experiencing chest pain, fatigue, cough with phlegm",Pneumonia,Rest | Antibiotics | Hospitalization if severe | Increase fluid intake,Azithromycin 500mg | Ceftriaxone 1g | Amoxicillin 1000mg,Practice good hygiene | Get vaccinated | Avoid smoking,Moderate,Adult,urgent,Pulmonologist,81,3
"I have been having chest pain, high fever, cough with phlegm for a few days",Pneumonia,Increase fluid intake | Oxygen therapy | Hospitalization if severe | Rest,Amoxicillin 1000mg | Ceftriaxone 1g | Levofloxacin 750mg,Practice good hygiene | Maintain healthy lifestyle | Avoid smoking,Moderate,Adult,urgent,Pulmonologist,94,3
"I have been having shortness of breath, fatigue, cough with phlegm, chills for a few days",Pneumonia,Antibiotics | Increase fluid intake | Hospitalization if severe | Rest,Amoxicillin 1000mg | Levofloxacin 750mg | Ceftriaxone 1g,Practice good hygiene | Avoid smoking | Get vaccinated,Moderate,Elderly,urgent,Pulmonologist,91,4
"I feel chest pain, shortness of breath, high fever, cough with phlegm, fatigue",Pneumonia,Rest | Antibiotics | Oxygen therapy | Hospitalization if severe,Ceftriaxone 1g | Levofloxacin 750mg | Azithromycin 500mg,Maintain healthy lifestyle | Practice good hygiene | Avoid smoking,Severe,Elderly,urgent,Pulmonologist,95,5
"I've noticed chest pain, cough with phlegm, fatigue recently",Pneumonia,Antibiotics | Increase fluid intake | Oxygen therapy | Rest,Ceftriaxone 1g | Levofloxacin 750mg | Amoxicillin 1000mg,Maintain healthy lifestyle | Get vaccinated | Practice good hygiene,Mild,Elderly,urgent,Pulmonologist,88,3
"I've noticed cough with phlegm, fatigue, chills, high fever recently",Pneumonia,Antibiotics | Oxygen therapy | Increase fluid intake | Rest,Azithromycin 500mg | Ceftriaxone 1g | Amoxicillin 1000mg,Maintain healthy lifestyle | Practice good hygiene | Avoid smoking,Moderate,All Ages,urgent,Pulmonologist,95,4
"I have been having fatigue, high fever, chills, chest pain for a few days",Pneumonia,Hospitalization if severe | Oxygen therapy | Increase fluid intake | Rest,Ceftriaxone 1g | Amoxicillin 1000mg | Levofloxacin 750mg,Avoid smoking | Get vaccinated | Practice good hygiene,Severe,Elderly,urgent,Pulmonologist,89,4
"I have been having shortness of breath, chills, cough with phlegm, chest pain, high fever for a few days",Pneumonia,Rest | Increase fluid intake | Hospitalization if severe | Oxygen therapy,Ceftriaxone 1g | Azithromycin 500mg | Levofloxacin 750mg,Maintain healthy lifestyle | Get vaccinated | Practice good hygiene,Severe,Child,urgent,Pulmonologist,91,5
"I feel chills, shortness of breath, high fever, cough with phlegm",Pneumonia,Increase fluid intake | Oxygen therapy | Antibiotics | Hospitalization if severe,Azithromycin 500mg | Amoxicillin 1000mg | Levofloxacin 750mg,Maintain healthy lifestyle | Avoid smoking | Practice good hygiene,Severe,Elderly,urgent,Pulmonologist,89,4
"I'm suffering from chills, high fever, chest pain, fatigue, shortness of breath",Pneumonia,Antibiotics | Hospitalization if severe | Rest | Increase fluid intake,Azithromycin 500mg | Amoxicillin 1000mg | Ceftriaxone 1g,Maintain healthy lifestyle | Get vaccinated | Avoid smoking,Severe,All Ages,urgent,Pulmonologist,95,5
"I am experiencing chest pain, fatigue, shortness of breath, high fever",Pneumonia,Rest | Increase fluid intake | Antibiotics | Hospitalization if severe,Azithromycin 500mg | Amoxicillin 1000mg | Ceftriaxone 1g,Practice good hygiene | Get vaccinated | Maintain healthy lifestyle,Severe,Adult,urgent,Pulmonologist,94,4
"I have been having chest pain, shortness of breath, cough with phlegm for a few days",Pneumonia,Antibiotics | Increase fluid intake | Rest | Oxygen therapy,Ceftriaxone 1g | Azithromycin 500mg | Amoxicillin 1000mg,Avoid smoking | Practice good hygiene | Maintain healthy lifestyle,Mild,Adult,urgent,Pulmonologist,86,3
"I have been having high fever, chills, shortness of breath, cough with phlegm for a few days",Pneumonia,Antibiotics | Rest | Hospitalization if severe | Oxygen therapy,Amoxicillin 1000mg | Azithromycin 500mg | Ceftriaxone 1g,Get vaccinated | Avoid smoking | Maintain healthy lifestyle,Moderate,Child,urgent,Pulmonologist,88,4
"I feel fatigue, high fever, chest pain",Pneumonia,Antibiotics | Increase fluid intake | Rest | Hospitalization if severe,Azithromycin 500mg | Ceftriaxone 1g | Amoxicillin 1000mg,Avoid smoking | Practice good hygiene | Get vaccinated,Moderate,Adult,urgent,Pulmonologist,88,3
"I am experiencing high fever, shortness of breath, fatigue, chills",Pneumonia,Oxygen therapy | Rest | Increase fluid intake | Antibiotics,Ceftriaxone 1g | Levofloxacin 750mg | Amoxicillin 1000mg,Avoid smoking | Maintain healthy lifestyle | Practice good hygiene,Moderate,Adult,urgent,Pulmonologist,94,4
"I feel shortness of breath, chest pain, chills",Pneumonia,Rest | Antibiotics | Oxygen therapy | Increase fluid intake,Amoxicillin 1000mg | Ceftriaxone 1g | Azithromycin 500mg,Practice good hygiene | Get vaccinated | Avoid smoking,Moderate,Elderly,urgent,Pulmonologist,83,3
"I am experiencing chills, chest pain, cough with phlegm, fatigue, shortness of breath",Pneumonia,Rest | Antibiotics | Hospitalization if severe | Increase fluid intake,Ceftriaxone 1g | Azithromycin 500mg | Amoxicillin 1000mg,Get vaccinated | Maintain healthy lifestyle | Avoid smoking,Severe,Adult,urgent,Pulmonologist,94,5
"I am experiencing vomiting, sensitivity to light, visual disturbances, nausea",Migraine,Avoid triggers | Pain medications | Rest in dark room | Preventive medications,Topiramate 100mg | Ibuprofen 800mg | Propranolol 80mg,Stay hydrated | Manage stress | Regular sleep schedule,Severe,Adult,within_24_hours,Neurologist,95,4
"I am experiencing nausea, severe headache, sensitivity to light",Migraine,Rest in dark room | Avoid triggers | Preventive medications | Pain medications,Topiramate 100mg | Ibuprofen 800mg | Sumatriptan 50mg,Regular sleep schedule | Stay hydrated | Manage stress,Moderate,All Ages,within_24_hours,Neurologist,83,3
"I am experiencing severe headache, visual disturbances, nausea, vomiting",Migraine,Preventive medications | Avoid triggers | Rest in dark room | Pain medications,Topiramate 100mg | Propranolol 80mg | Sumatriptan 50mg,Stay hydrated | Regular sleep schedule | Manage stress,Severe,Child,within_24_hours,Neurologist,89,4
"I have been having nausea, sensitivity to light, visual disturbances for a few days",Migraine,Rest in dark room | Preventive medications | Pain medications | Avoid triggers,Propranolol 80mg | Sumatriptan 50mg | Topiramate 100mg,Stay hydrated | Regular sleep schedule | Identify triggers,Mild,All Ages,within_24_hours,Neurologist,82,3
"I feel visual disturbances, sensitivity to light, severe headache, nausea",Migraine,Pain medications | Preventive medications | Rest in dark room | Avoid triggers,Topiramate 100mg | Ibuprofen 800mg | Sumatriptan 50mg,Identify triggers | Stay hydrated | Regular sleep schedule,Severe,All Ages,within_24_hours,Neurologist,91,4
"I'm suffering from vomiting, severe headache, sensitivity to light, nausea",Migraine,Rest in dark room | Avoid triggers | Preventive medications | Pain medications,Sumatriptan 50mg | Topiramate 100mg | Propranolol 80mg,Identify triggers | Regular sleep schedule | Manage stress,Severe,Elderly,within_24_hours,Neurologist,94,4
"I feel severe headache, visual disturbances, sensitivity to light, nausea, vomiting",Migraine,Avoid triggers | Rest in dark room | Pain medications | Preventive medications,Sumatriptan 50mg | Ibuprofen 800mg | Topiramate 100mg,Stay hydrated | Identify triggers | Regular sleep schedule,Severe,All Ages,within_24_hours,Neurologist,93,5
"I feel visual disturbances, severe headache, nausea",Migraine,Preventive medications | Rest in dark room | Pain medications | Avoid triggers,Topiramate 100mg | Propranolol 80mg | Ibuprofen 800mg,Regular sleep schedule | Manage stress | Identify triggers,Moderate,Child,within_24_hours,Neurologist,84,3
"I feel visual disturbances, vomiting, sensitivity to light, nausea",Migraine,Preventive medications | Rest in dark room | Avoid triggers | Pain medications,Propranolol 80mg | Ibuprofen 800mg | Sumatriptan 50mg,Regular sleep schedule | Stay hydrated | Manage stress,Severe,Adult,within_24_hours,Neurologist,95,4
"I'm suffering from nausea, vomiting, sensitivity to light",Migraine,Preventive medications | Avoid triggers | Pain medications | Rest in dark room,Sumatriptan 50mg | Ibuprofen 800mg | Propranolol 80mg,Stay hydrated | Manage stress | Regular sleep schedule,Moderate,Child,within_24_hours,Neurologist,93,3
"I am experiencing severe headache, visual disturbances, nausea, sensitivity to light, vomiting",Migraine,Avoid triggers | Pain medications | Preventive medications | Rest in dark room,Ibuprofen 800mg | Sumatriptan 50mg | Topiramate 100mg,Regular sleep schedule | Manage stress | Identify triggers,Severe,All Ages,within_24_hours,Neurologist,95,5
"I've noticed visual disturbances, nausea, vomiting recently",Migraine,Preventive medications | Avoid triggers | Rest in dark room | Pain medications,Topiramate 100mg | Ibuprofen 800mg | Propranolol 80mg,Manage stress | Stay hydrated | Identify triggers,Moderate,Elderly,within_24_hours,Neurologist,80,3
"I'm suffering from visual disturbances, sensitivity to light, severe headache",Migraine,Preventive medications | Avoid triggers | Pain medications | Rest in dark room,Topiramate 100mg | Sumatriptan 50mg | Propranolol 80mg,Regular sleep schedule | Identify triggers | Manage stress,Moderate,Child,within_24_hours,Neurologist,92,3
"I've noticed vomiting, visual disturbances, severe headache, sensitivity to light recently",Migraine,Pain medications | Preventive medications | Avoid triggers | Rest in dark room,Sumatriptan 50mg | Topiramate 100mg | Ibuprofen 800mg,Identify triggers | Manage stress | Regular sleep schedule,Moderate,Elderly,within_24_hours,Neurologist,95,4
"I've noticed vomiting, nausea, severe headache recently",Migraine,Preventive medications | Rest in dark room | Avoid triggers | Pain medications,Propranolol 80mg | Sumatriptan 50mg | Topiramate 100mg,Manage stress | Regular sleep schedule | Stay hydrated,Mild,Adult,within_24_hours,Neurologist,89,3
"I'm suffering from visual disturbances, sensitivity to light, vomiting, severe headache, nausea",Migraine,Preventive medications | Avoid triggers | Pain medications | Rest in dark room,Propranolol 80mg | Ibuprofen 800mg | Sumatriptan 50mg,Stay hydrated | Regular sleep schedule | Manage stress,Severe,Elderly,within_24_hours,Neurologist,90,5
"I have been having visual disturbances, sensitivity to light, nausea, severe headache, vomiting for a few days",Migraine,Pain medications | Rest in dark room | Avoid triggers | Preventive medications,Sumatriptan 50mg | Topiramate 100mg | Propranolol 80mg,Stay hydrated | Identify triggers | Manage stress,Severe,Child,within_24_hours,Neurologist,95,5
"I am experiencing nausea, severe headache, visual disturbances, vomiting, sensitivity to light",Migraine,Pain medications | Rest in dark room | Preventive medications | Avoid triggers,Ibuprofen 800mg | Topiramate 100mg | Propranolol 80mg,Stay hydrated | Regular sleep schedule | Manage stress,Severe,Elderly,within_24_hours,Neurologist,95,5
"I am experiencing sensitivity to light, severe headache, vomiting",Migraine,Pain medications | Avoid triggers | Rest in dark room | Preventive medications,Propranolol 80mg | Topiramate 100mg | Sumatriptan 50mg,Manage stress | Stay hydrated | Regular sleep schedule,Moderate,Elderly,within_24_hours,Neurologist,82,3
"I feel sensitivity to light, visual disturbances, vomiting, severe headache",Migraine,Preventive medications | Pain medications | Rest in dark room | Avoid triggers,Ibuprofen 800mg | Topiramate 100mg | Propranolol 80mg,Identify triggers | Manage stress | Stay hydrated,Moderate,Child,within_24_hours,Neurologist,88,4
"I've noticed visual disturbances, sensitivity to light, vomiting recently",Migraine,Avoid triggers | Pain medications | Preventive medications | Rest in dark room,Topiramate 100mg | Propranolol 80mg | Sumatriptan 50mg,Regular sleep schedule | Identify triggers | Manage stress,Mild,Adult,within_24_hours,Neurologist,88,3
"I feel nausea, severe headache, vomiting",Migraine,Pain medications | Preventive medications | Rest in dark room | Avoid triggers,Sumatriptan 50mg | Topiramate 100mg | Ibuprofen 800mg,Manage stress | Regular sleep schedule | Identify triggers,Moderate,Child,within_24_hours,Neurologist,87,3
"I feel visual disturbances, severe headache, sensitivity to light, nausea",Migraine,Avoid triggers | Rest in dark room | Preventive medications | Pain medications,Propranolol 80mg | Ibuprofen 800mg | Topiramate 100mg,Regular sleep schedule | Identify triggers | Stay hydrated,Severe,Adult,within_24_hours,Neurologist,92,4
"I feel sensitivity to light, vomiting, nausea, severe headache, visual disturbances",Migraine,Rest in dark room | Preventive medications | Avoid triggers | Pain medications,Sumatriptan 50mg | Topiramate 100mg | Propranolol 80mg,Manage stress | Identify triggers | Stay hydrated,Severe,Child,within_24_hours,Neurologist,95,5
"I've noticed severe headache, visual disturbances, vomiting, sensitivity to light, nausea recently",Migraine,Pain medications | Avoid triggers | Preventive medications | Rest in dark room,Ibuprofen 800mg | Topiramate 100mg | Propranolol 80mg,Regular sleep schedule | Manage stress | Stay hydrated,Severe,All Ages,within_24_hours,Neurologist,94,5
"I have been having visual disturbances, severe headache, nausea, vomiting, sensitivity to light for a few days",Migraine,Preventive medications | Avoid triggers | Pain medications | Rest in dark room,Ibuprofen 800mg | Sumatriptan 50mg | Propranolol 80mg,Stay hydrated | Regular sleep schedule | Identify triggers,Severe,All Ages,within_24_hours,Neurologist,95,5
"I have been having severe headache, vomiting, nausea for a few days",Migraine,Preventive medications | Avoid triggers | Rest in dark room | Pain medications,Topiramate 100mg | Ibuprofen 800mg | Sumatriptan 50mg,Identify triggers | Manage stress | Regular sleep schedule,Mild,Elderly,within_24_hours,Neurologist,83,3
"I've noticed vomiting, nausea, sensitivity to light, visual disturbances, severe headache recently",Migraine,Pain medications | Avoid triggers | Preventive medications | Rest in dark room,Ibuprofen 800mg | Propranolol 80mg | Topiramate 100mg,Manage stress | Regular sleep schedule | Stay hydrated,Severe,Child,within_24_hours,Neurologist,95,5
"I've noticed nausea, sensitivity to light, severe headache, vomiting, visual disturbances recently",Migraine,Avoid triggers | Pain medications | Rest in dark room | Preventive medications,Ibuprofen 800mg | Topiramate 100mg | Sumatriptan 50mg,Regular sleep schedule | Stay hydrated | Manage stress,Severe,All Ages,within_24_hours,Neurologist,93,5
"I am experiencing sensitivity to light, visual disturbances, severe headache, vomiting, nausea",Migraine,Pain medications | Rest in dark room | Avoid triggers | Preventive medications,Sumatriptan 50mg | Propranolol 80mg | Topiramate 100mg,Identify triggers | Stay hydrated | Regular sleep schedule,Severe,All Ages,within_24_hours,Neurologist,95,5
"I have been having difficulty breathing, wheezing, chest tightness, shortness of breath, coughing for a few days",Asthma,Peak flow monitoring | Anti-inflammatory medications | Bronchodilators | Avoid triggers,Montelukast 10mg | Fluticasone 250mcg | Albuterol 100mcg,Monitor air quality | Avoid triggers | Take medications as prescribed,Severe,Elderly,within_24_hours,Pulmonologist,95,5
"I feel difficulty breathing, wheezing, coughing, shortness of breath",Asthma,Bronchodilators | Peak flow monitoring | Avoid triggers | Anti-inflammatory medications,Budesonide 200mcg | Fluticasone 250mcg | Albuterol 100mcg,Avoid triggers | Take medications as prescribed | Monitor air quality,Moderate,Child,within_24_hours,Pulmonologist,88,4
"I've noticed shortness of breath, wheezing, chest tightness, difficulty breathing recently",Asthma,Avoid triggers | Bronchodilators | Anti-inflammatory medications | Peak flow monitoring,Montelukast 10mg | Budesonide 200mcg | Fluticasone 250mcg,Monitor air quality | Avoid triggers | Take medications as prescribed,Severe,Elderly,within_24_hours,Pulmonologist,89,4
"I'm suffering from shortness of breath, wheezing, difficulty breathing, chest tightness",Asthma,Bronchodilators | Avoid triggers | Peak flow monitoring | Anti-inflammatory medications,Albuterol 100mcg | Budesonide 200mcg | Montelukast 10mg,Monitor air quality | Take medications as prescribed | Avoid triggers,Moderate,Child,within_24_hours,Pulmonologist,95,4
"I've noticed coughing, chest tightness, shortness of breath recently",Asthma,Avoid triggers | Peak flow monitoring | Anti-inflammatory medications | Bronchodilators,Budesonide 200mcg | Montelukast 10mg | Fluticasone 250mcg,Avoid triggers | Take medications as prescribed | Monitor air quality,Moderate,Elderly,within_24_hours,Pulmonologist,88,3
"I have been having chest tightness, coughing, difficulty breathing, wheezing, shortness of breath for a few days",Asthma,Anti-inflammatory medications | Bronchodilators | Avoid triggers | Peak flow monitoring,Fluticasone 250mcg | Montelukast 10mg | Albuterol 100mcg,Avoid triggers | Take medications as prescribed | Monitor air quality,Severe,Adult,within_24_hours,Pulmonologist,92,5
"I'm suffering from difficulty breathing, coughing, wheezing, chest tightness",Asthma,Avoid triggers | Bronchodilators | Peak flow monitoring | Anti-inflammatory medications,Montelukast 10mg | Fluticasone 250mcg | Budesonide 200mcg,Monitor air quality | Avoid triggers | Take medications as prescribed,Moderate,All Ages,within_24_hours,Pulmonologist,95,4
"I am experiencing shortness of breath, chest tightness, wheezing",Asthma,Anti-inflammatory medications | Avoid triggers | Bronchodilators | Peak flow monitoring,Fluticasone 250mcg | Albuterol 100mcg | Montelukast 10mg,Avoid triggers | Monitor air quality | Take medications as prescribed,Moderate,Elderly,within_24_hours,Pulmonologist,92,3
"I am experiencing coughing, difficulty breathing, chest tightness, wheezing, shortness of breath",Asthma,Avoid triggers | Peak flow monitoring | Anti-inflammatory medications | Bronchodilators,Fluticasone 250mcg | Albuterol 100mcg | Montelukast 10mg,Take medications as prescribed | Monitor air quality | Avoid triggers,Severe,Adult,within_24_hours,Pulmonologist,95,5
"I've noticed difficulty breathing, wheezing, chest tightness, coughing recently",Asthma,Avoid triggers | Bronchodilators | Anti-inflammatory medications | Peak flow monitoring,Montelukast 10mg | Budesonide 200mcg | Fluticasone 250mcg,Avoid triggers | Take medications as prescribed | Monitor air quality,Moderate,Child,within_24_hours,Pulmonologist,95,4
"I have been having wheezing, chest tightness, difficulty breathing, shortness of breath for a few days",Asthma,Anti-inflammatory medications | Peak flow monitoring | Avoid triggers | Bronchodilators,Albuterol 100mcg | Fluticasone 250mcg | Budesonide 200mcg,Avoid triggers | Take medications as prescribed | Monitor air quality,Severe,Elderly,within_24_hours,Pulmonologist,95,4
"I'm suffering from difficulty breathing, shortness of breath, coughing",Asthma,Anti-inflammatory medications | Avoid triggers | Peak flow monitoring | Bronchodilators,Budesonide 200mcg | Montelukast 10mg | Albuterol 100mcg,Avoid triggers | Monitor air quality | Take medications as prescribed,Moderate,Adult,within_24_hours,Pulmonologist,86,3
"I am experiencing shortness of breath, chest tightness, wheezing",Asthma,Bronchodilators | Avoid triggers | Anti-inflammatory medications | Peak flow monitoring,Albuterol 100mcg | Budesonide 200mcg | Fluticasone 250mcg,Monitor air quality | Take medications as prescribed | Avoid triggers,Mild,All Ages,within_24_hours,Pulmonologist,88,3
"I have been having difficulty breathing, chest tightness, shortness of breath for a few days",Asthma,Anti-inflammatory medications | Bronchodilators | Peak flow monitoring | Avoid triggers,Albuterol 100mcg | Fluticasone 250mcg | Budesonide 200mcg,Take medications as prescribed | Avoid triggers | Monitor air quality,Moderate,All Ages,within_24_hours,Pulmonologist,83,3
"I feel wheezing, difficulty breathing, chest tightness, coughing",Asthma,Bronchodilators | Anti-inflammatory medications | Avoid triggers | Peak flow monitoring,Budesonide 200mcg | Fluticasone 250mcg | Montelukast 10mg,Avoid triggers | Take medications as prescribed | Monitor air quality,Severe,Elderly,within_24_hours,Pulmonologist,95,4
"I feel coughing, difficulty breathing, wheezing",Asthma,Avoid triggers | Anti-inflammatory medications | Peak flow monitoring | Bronchodilators,Budesonide 200mcg | Fluticasone 250mcg | Albuterol 100mcg,Monitor air quality | Avoid triggers | Take medications as prescribed,Moderate,Adult,within_24_hours,Pulmonologist,88,3
"I feel coughing, difficulty breathing, wheezing, chest tightness, shortness of breath",Asthma,Anti-inflammatory medications | Peak flow monitoring | Avoid triggers | Bronchodilators,Fluticasone 250mcg | Budesonide 200mcg | Montelukast 10mg,Take medications as prescribed | Avoid triggers | Monitor air quality,Moderate,Adult,within_24_hours,Pulmonologist,93,5
"I am experiencing shortness of breath, chest tightness, difficulty breathing",Asthma,Avoid triggers | Anti-inflammatory medications | Peak flow monitoring | Bronchodilators,Fluticasone 250mcg | Budesonide 200mcg | Albuterol 100mcg,Take medications as prescribed | Avoid triggers | Monitor air quality,Moderate,Adult,within_24_hours,Pulmonologist,86,3
"I feel chest tightness, difficulty breathing, coughing, shortness of breath",Asthma,Peak flow monitoring | Avoid triggers | Anti-inflammatory medications | Bronchodilators,Budesonide 200mcg | Albuterol 100mcg | Montelukast 10mg,Take medications as prescribed | Monitor air quality | Avoid triggers,Moderate,Adult,within_24_hours,Pulmonologist,87,4
"I'm suffering from shortness of breath, chest tightness, difficulty breathing, coughing",Asthma,Peak flow monitoring | Anti-inflammatory medications | Avoid triggers | Bronchodilators,Montelukast 10mg | Budesonide 200mcg | Albuterol 100mcg,Avoid triggers | Monitor air quality | Take medications as prescribed,Severe,Elderly,within_24_hours,Pulmonologist,92,4
"I am experiencing wheezing, shortness of breath, difficulty breathing, coughing, chest tightness",Asthma,Peak flow monitoring | Avoid triggers | Bronchodilators | Anti-inflammatory medications,Montelukast 10mg | Fluticasone 250mcg | Albuterol 100mcg,Avoid triggers | Take medications as prescribed | Monitor air quality,Severe,All Ages,within_24_hours,Pulmonologist,92,5
"I feel shortness of breath, difficulty breathing, chest tightness, coughing",Asthma,Anti-inflammatory medications | Bronchodilators | Avoid triggers | Peak flow monitoring,Albuterol 100mcg | Fluticasone 250mcg | Budesonide 200mcg,Take medications as prescribed | Monitor air quality | Avoid triggers,Severe,All Ages,within_24_hours,Pulmonologist,93,4
"I've noticed difficulty breathing, shortness of breath, chest tightness recently",Asthma,Peak flow monitoring | Avoid triggers | Anti-inflammatory medications | Bronchodilators,Montelukast 10mg | Fluticasone 250mcg | Albuterol 100mcg,Avoid triggers | Take medications as prescribed | Monitor air quality,Moderate,All Ages,within_24_hours,Pulmonologist,91,3
"I've noticed shortness of breath, chest tightness, wheezing, coughing recently",Asthma,Avoid triggers | Anti-inflammatory medications | Peak flow monitoring | Bronchodilators,Montelukast 10mg | Budesonide 200mcg | Fluticasone 250mcg,Avoid triggers | Take medications as prescribed | Monitor air quality,Moderate,Child,within_24_hours,Pulmonologist,92,4
"I have been having chest tightness, shortness of breath, coughing, difficulty breathing, wheezing for a few days",Asthma,Peak flow monitoring | Anti-inflammatory medications | Bronchodilators | Avoid triggers,Albuterol 100mcg | Budesonide 200mcg | Montelukast 10mg,Monitor air quality | Take medications as prescribed | Avoid triggers,Severe,All Ages,within_24_hours,Pulmonologist,95,5
"I'm suffering from wheezing, shortness of breath, difficulty breathing",Asthma,Peak flow monitoring | Avoid triggers | Anti-inflammatory medications | Bronchodilators,Montelukast 10mg | Albuterol 100mcg | Budesonide 200mcg,Avoid triggers | Monitor air quality | Take medications as prescribed,Mild,Adult,within_24_hours,Pulmonologist,80,3
"I feel chest tightness, difficulty breathing, wheezing",Asthma,Anti-inflammatory medications | Bronchodilators | Avoid triggers | Peak flow monitoring,Montelukast 10mg | Albuterol 100mcg | Budesonide 200mcg,Take medications as prescribed | Monitor air quality | Avoid triggers,Mild,All Ages,within_24_hours,Pulmonologist,91,3
"I'm suffering from wheezing, chest tightness, difficulty breathing, coughing, shortness of breath",Asthma,Bronchodilators | Avoid triggers | Anti-inflammatory medications | Peak flow monitoring,Budesonide 200mcg | Montelukast 10mg | Fluticasone 250mcg,Avoid triggers | Monitor air quality | Take medications as prescribed,Severe,All Ages,within_24_hours,Pulmonologist,95,5
"I am experiencing wheezing, shortness of breath, coughing",Asthma,Anti-inflammatory medications | Peak flow monitoring | Avoid triggers | Bronchodilators,Fluticasone 250mcg | Albuterol 100mcg | Montelukast 10mg,Monitor air quality | Avoid triggers | Take medications as prescribed,Moderate,Elderly,within_24_hours,Pulmonologist,95,3
"I have been having chest tightness, wheezing, difficulty breathing for a few days",Asthma,Anti-inflammatory medications | Avoid triggers | Peak flow monitoring | Bronchodilators,Albuterol 100mcg | Montelukast 10mg | Budesonide 200mcg,Monitor air quality | Avoid triggers | Take medications as prescribed,Mild,Child,within_24_hours,Pulmonologist,87,3
"I've noticed appetite changes, sleep problems, fatigue recently",Depression,Support groups | Psychotherapy | Regular exercise | Antidepressant medications,Mirtazapine 30mg | Sertraline 100mg | Fluoxetine 40mg,Maintain social connections | Get adequate sleep | Regular exercise,Moderate,Child,within_week,Psychiatrist,84,3
"I've noticed sleep problems, loss of interest, appetite changes recently",Depression,Support groups | Antidepressant medications | Psychotherapy | Regular exercise,Mirtazapine 30mg | Fluoxetine 40mg | Sertraline 100mg,Manage stress | Maintain social connections | Regular exercise,Moderate,Elderly,within_week,Psychiatrist,94,3
